signal_date,stock_code,stock_name,rank,rule_score,buy_price,sell_date,sell_price,hold_days,pnl_ratio,status,stop_loss_triggered,exit_reason,market_score
2025-08-13,000818,航锦科技,2,81.97083640901128,23.73,2025-08-14,23.0181,1,-0.03,CLOSED,1,t1_intraday_stop_loss,60
2025-08-13,000063,中兴通讯,3,79.69381685384312,35.5,2025-08-14,34.81,1,-0.019436619718309796,CLOSED,0,t1_close_exit,60
2025-08-13,002730,电光科技,4,78.41443623641952,18.49,2025-08-14,17.935299999999998,1,-0.030000000000000027,CLOSED,1,t1_intraday_stop_loss,60
2025-08-13,605288,凯迪股份,5,77.62328254603632,57.06,2025-08-14,55.3482,1,-0.030000000000000065,CLOSED,1,t1_intraday_stop_loss,60
2025-08-14,002371,北方华创,1,82.58808429653857,341.66,2025-08-15,342.03,1,0.0010829479599600413,CLOSED,0,t1_close_exit,60
2025-08-14,601601,中国太保,2,79.32708562486123,39.6,2025-08-15,39.7,1,0.002525252525252561,CLOSED,0,t1_close_exit,60
2025-08-14,001316,润贝航科,3,78.91653660275367,36.92676134,2025-08-15,37.2927646,1,0.009911599249933014,CLOSED,0,t1_close_exit,60
2025-08-14,603019,中科曙光,4,78.45121190858238,74.01984704,2025-08-15,73.58020432,1,-0.005939524838012889,CLOSED,0,t1_close_exit,60
2025-08-14,002015,协鑫能科,5,78.35770046291537,12.2,2025-08-15,11.834,1,-0.029999999999999975,CLOSED,1,t1_intraday_stop_loss,60
2025-08-15,603383,顶点软件,1,84.01262905476764,42.8369492,2025-08-18,45.6224452,1,0.06502554575011617,CLOSED,0,t1_close_exit,60
2025-08-15,002595,豪迈科技,2,79.5036429228433,58.17,2025-08-18,58.57,1,0.006876396768093494,CLOSED,0,t1_close_exit,60
2025-08-15,002865,钧达股份,3,78.31897973853317,44.4,2025-08-18,45.29,1,0.02004504504504506,CLOSED,0,t1_close_exit,60
2025-08-15,603178,圣龙股份,4,77.20563128872774,19.25,2025-08-18,19.78,1,0.027532467532467592,CLOSED,0,t1_close_exit,60
2025-08-15,601689,拓普集团,5,77.11050289293358,48.85,2025-08-18,49.81,1,0.019651995905834205,CLOSED,0,t1_close_exit,60
2025-08-18,003033,征和工业,1,85.0,51.12857875,2025-08-19,50.35495525,1,-0.015130940834141597,CLOSED,0,t1_close_exit,60
2025-08-18,603281,江瀚新材,2,82.38077987956977,26.97,2025-08-19,26.93,1,-0.0014831294030403838,CLOSED,0,t1_close_exit,60
2025-08-18,603160,汇顶科技,3,82.15690459287754,79.20186906,2025-08-19,78.31341855,1,-0.011217544744139307,CLOSED,0,t1_close_exit,60
2025-08-18,600456,宝钛股份,4,81.58972925344634,33.4,2025-08-19,32.9,1,-0.014970059880239521,CLOSED,0,t1_close_exit,60
2025-08-18,605080,浙江自然,5,79.73404116820669,28.06,2025-08-19,28.36,1,0.010691375623663605,CLOSED,0,t1_close_exit,60
2025-08-19,002304,洋河股份,1,85.0,73.58,2025-08-20,73.38,1,-0.0027181299266105306,CLOSED,0,t1_close_exit,60
