signal_date,market_score,pick_count,closed_count,day_return,cum_nav,day_type,filter_detail,skipped_count
2025-12-01,67,0,0,,,fused,"{'index_ret_20d': -0.020089497139737067, 'market_limit_up_count': 67, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-12-02,47,0,0,,,fused,"{'index_ret_20d': -0.016481634421686264, 'market_limit_up_count': 47, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-12-03,49,0,0,,,fused,"{'index_ret_20d': -0.029014464163642395, 'market_limit_up_count': 49, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-12-04,40,0,0,,,fused,"{'index_ret_20d': -0.0401456335749083, 'market_limit_up_count': 40, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-12-05,77,0,0,,,fused,"{'index_ret_20d': -0.02643718182659538, 'market_limit_up_count': 77, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-12-08,74,0,0,,,fused,"{'index_ret_20d': -0.0185380525366462, 'market_limit_up_count': 74, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-12-09,54,0,0,,,fused,"{'index_ret_20d': -0.021245383939165086, 'market_limit_up_count': 54, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-12-10,58,0,0,,,fused,"{'index_ret_20d': -0.01043669053802665, 'market_limit_up_count': 58, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-12-11,40,0,0,,,fused,"{'index_ret_20d': -0.03670090385762559, 'market_limit_up_count': 40, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-12-12,81,0,0,,,fused,"{'index_ret_20d': -0.017568875014877805, 'market_limit_up_count': 81, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-12-15,65,0,0,,,fused,"{'index_ret_20d': -0.028445545412541295, 'market_limit_up_count': 65, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-12-16,47,0,0,,,fused,"{'index_ret_20d': -0.03577838163043168, 'market_limit_up_count': 47, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-12-17,52,0,0,,,fused,"{'index_ret_20d': -0.013329799296296962, 'market_limit_up_count': 52, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-12-18,64,0,0,,,fused,"{'index_ret_20d': -0.009265147514880612, 'market_limit_up_count': 64, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-12-19,73,4,4,-0.07956504422554629,0.48900231847853537,signal,,0.0
2025-12-22,85,5,4,-0.060367409995411465,0.45948251503023485,signal,,1.0
2025-12-23,54,5,4,0.017080988488470318,0.4673309305801197,signal,,1.0
2025-12-24,77,4,4,0.06274328522573515,0.49665280845231646,signal,,0.0
2025-12-25,82,4,4,0.051749040792464715,0.5223541148966075,signal,,0.0
2025-12-26,83,4,4,-0.013942713974063558,0.515071080879429,signal,,0.0
2025-12-29,77,3,3,-0.006580785028698788,0.511681508821662,signal,,0.0
