signal_date,stock_code,stock_name,rank,board_score,board_streak,signal_close,t1_date,t2_date,buy_price,sell_date,sell_price,hold_days,ride_days,pnl_ratio,status,exit_reason,market_score,index_ret_20d,market_limit_up_count,concept_limit_up_count
2025-09-16,000559,万向钱潮,3,76.5,2,9.52,2025-09-17,2025-09-18,10.52235,2025-09-18,11.52,2,0,0.09481247059829793,CLOSED,t2_close_exit,74,0.03324368628974583,74,0
2025-09-16,603655,朗博科技,4,76.5,2,46.38,2025-09-17,2025-09-18,46.82295,2025-09-18,44.15,2,0,-0.057086321985265774,CLOSED,t2_close_exit,74,0.03324368628974583,74,0
2025-09-16,603829,洛凯股份,5,76.33727959125,2,24.93,2025-09-17,2025-09-18,24.81345,2025-09-18,22.55,2,0,-0.09121867374347375,CLOSED,t2_close_exit,74,0.03324368628974583,74,0
2025-09-17,603626,科森科技,2,76.5,2,16.09,2025-09-18,2025-09-19,17.2257,2025-09-19,15.93,2,0,-0.07521900416238528,CLOSED,t2_close_exit,71,0.03413227447248013,71,0
2025-09-17,000045,深纺织Ａ,3,67.75,1,12.44,2025-09-18,2025-09-19,12.502199999999998,2025-09-19,12.23,2,0,-0.02177216809841452,CLOSED,t2_close_exit,71,0.03413227447248013,71,0
2025-09-17,000737,北方铜业,4,67.75,1,15.25,2025-09-18,2025-09-19,14.592599999999997,2025-09-19,13.71,2,0,-0.06048271041486758,CLOSED,t2_close_exit,71,0.03413227447248013,71,0
2025-09-18,600162,香江控股,1,80.0,5,2.88,2025-09-19,2025-09-22,3.1858499999999994,2025-09-22,2.7,2,0,-0.15250247186779017,CLOSED,t2_close_exit,59,0.03075257850069968,59,0
2025-09-18,600170,上海建工,2,80.0,5,3.88,2025-09-19,2025-09-22,,,,0,0,,SKIPPED,t1_open_gap_down,59,0.03075257850069968,59,0
2025-09-18,001389,广合科技,3,67.75,1,84.33,2025-09-19,2025-09-22,87.52544999999999,2025-09-22,85.12,2,0,-0.027482863555685664,CLOSED,t2_close_exit,59,0.03075257850069968,59,8
2025-09-18,002062,宏润建设,4,67.75,1,11.31,2025-09-19,2025-09-22,11.406749999999999,2025-09-22,11.1,2,0,-0.026891971858767766,CLOSED,t2_close_exit,59,0.03075257850069968,59,0
2025-09-19,600706,曲江文旅,1,76.5,2,13.06,2025-09-22,2025-09-23,12.863999999999999,2025-09-23,12.3,2,0,-0.04384328358208942,CLOSED,t2_close_exit,54,0.01021996648078094,54,0
2025-09-19,603686,福龙马,2,76.5,2,23.12,2025-09-22,2025-09-23,25.557149999999996,2025-09-23,27.97,2,0,0.09440997920347154,CLOSED,t2_close_exit,54,0.01021996648078094,54,0
2025-09-19,001221,悍高集团,3,67.75,1,60.90790784,2025-09-22,2025-09-23,62.830661555999995,2025-09-23,63.45236352,2,0,0.009894881712265434,CLOSED,t2_close_exit,54,0.01021996648078094,54,0
2025-09-19,001330,博纳影业,4,67.75,1,6.25,2025-09-22,2025-09-23,6.532499999999999,2025-09-23,5.97,2,0,-0.08610792192881733,CLOSED,t2_close_exit,54,0.01021996648078094,54,0
2025-09-19,002052,同洲电子,5,67.75,1,15.42,2025-09-22,2025-09-23,15.858899999999998,2025-09-23,14.88,2,0,-0.06172559256947189,CLOSED,t2_close_exit,54,0.01021996648078094,54,0
2025-09-22,000509,华塑控股,1,67.75,1,3.48,2025-09-23,2025-09-24,3.4370999999999996,2025-09-24,3.41,2,0,-0.007884553838992017,CLOSED,t2_close_exit,70,0.0015713328968371965,70,0
2025-09-22,000981,山子高科,2,67.75,1,4.26,2025-09-23,2025-09-24,4.492349999999999,2025-09-24,3.82,2,0,-0.1496655425334178,CLOSED,t2_close_exit,70,0.0015713328968371965,70,0
2025-09-22,002006,精工科技,3,67.75,1,22.52,2025-09-23,2025-09-24,22.672799999999995,2025-09-24,22.25,2,0,-0.01864789527539586,CLOSED,t2_close_exit,70,0.0015713328968371965,70,0
2025-09-22,002045,国光电器,4,67.75,1,17.69,2025-09-23,2025-09-24,18.1302,2025-09-24,17.32,2,0,-0.04468786885969257,CLOSED,t2_close_exit,70,0.0015713328968371965,70,0
2025-09-22,002145,钛能化学,5,67.75,1,5.84,2025-09-23,2025-09-24,5.8088999999999995,2025-09-24,5.77,2,0,-0.006696620702714789,CLOSED,t2_close_exit,70,0.0015713328968371965,70,0
2025-09-24,002040,南 京 港,1,76.5,2,11.98,2025-09-25,2025-09-26,,,,0,0,,SKIPPED,t1_open_gap_down,80,0.02694989330067843,80,0
2025-09-24,603090,宏盛股份,2,76.5,2,51.98,2025-09-25,2025-09-26,56.460899999999995,2025-09-26,59.94,2,0,0.061619634118478504,CLOSED,t2_close_exit,80,0.02694989330067843,80,0
2025-09-24,605055,迎丰股份,3,76.5,2,10.51,2025-09-25,2025-09-26,10.250999999999998,2025-09-26,9.99,2,0,-0.02546093064091284,CLOSED,t2_close_exit,80,0.02694989330067843,80,0
2025-09-24,000006,深振业Ａ,4,67.75,1,9.27,2025-09-25,2025-09-26,9.5475,2025-09-26,9.51,2,0,-0.003927729772191637,CLOSED,t2_close_exit,80,0.02694989330067843,80,0
2025-09-24,000009,中国宝安,5,67.75,1,11.32,2025-09-25,2025-09-26,11.617799999999999,2025-09-26,11.69,2,0,0.006214601731825345,CLOSED,t2_close_exit,80,0.02694989330067843,80,0
2025-09-30,002150,正泰电源,1,76.5,2,20.82,2025-10-09,2025-10-10,21.0447,2025-10-10,19.21,2,0,-0.08718109547772114,CLOSED,t2_close_exit,53,0.035696638255853674,53,0
2025-09-30,603026,石大胜华,2,76.5,2,51.8,2025-10-09,2025-10-10,52.41074999999999,2025-10-10,49.13,2,0,-0.06259689090501454,CLOSED,t2_close_exit,53,0.035696638255853674,53,3
2025-09-30,000006,深振业Ａ,3,67.75,1,10.29,2025-10-09,2025-10-10,10.4721,2025-10-10,11.94,2,0,0.14017245824619706,CLOSED,t2_close_exit,53,0.035696638255853674,53,0
2025-09-30,000021,深科技,4,67.75,1,27.87,2025-10-09,2025-10-10,30.813299999999998,2025-10-10,31.72,2,0,0.029425605176985288,CLOSED,t2_close_exit,53,0.035696638255853674,53,3
2025-09-30,000672,上峰水泥,5,67.75,1,11.02,2025-10-09,2025-10-10,11.024849999999999,2025-10-10,11.7,2,0,0.061238928420794876,CLOSED,t2_close_exit,53,0.035696638255853674,53,0
2025-10-09,600711,盛屯矿业,2,76.5,2,11.30492915,2025-10-10,2025-10-13,10.910999680499998,2025-10-13,11.0559219,2,0,0.013282212789264825,CLOSED,t2_close_exit,97,0.06121598318050703,97,5
2025-10-09,000571,新大洲A,3,67.75,1,5.59,2025-10-10,2025-10-13,5.71845,2025-10-13,5.64,2,0,-0.01371875245914542,CLOSED,t2_close_exit,97,0.06121598318050703,97,0
2025-10-09,000630,铜陵有色,4,67.75,1,5.8390471,2025-10-10,2025-10-13,5.878188508949999,2025-10-13,5.73018351,2,0,-0.025178675152157895,CLOSED,t2_close_exit,97,0.06121598318050703,97,5
2025-10-10,002910,庄园牧场,1,76.5,2,11.95,2025-10-13,2025-10-14,13.215749999999998,2025-10-14,10.79,2,0,-0.18354993095359698,CLOSED,t2_close_exit,60,0.06996949647742401,60,0
2025-10-10,600635,大众公用,2,76.5,2,7.11,2025-10-13,2025-10-14,6.884249999999999,2025-10-14,6.91,2,0,0.0037404219777029124,CLOSED,t2_close_exit,60,0.06996949647742401,60,0
2025-10-10,603301,振德医疗,3,76.5,2,56.46,2025-10-13,2025-10-14,,,,0,0,,SKIPPED,t1_open_gap_down,60,0.06996949647742401,60,0
2025-10-10,000006,深振业Ａ,4,67.75,1,11.94,2025-10-13,2025-10-14,12.260999999999997,2025-10-14,13.79,2,0,0.12470434711687481,CLOSED,t2_close_exit,60,0.06996949647742401,60,0
2025-10-10,000058,深 赛 格,5,67.75,1,10.82,2025-10-13,2025-10-14,10.642949999999999,2025-10-14,11.05,2,0,0.038245975035117306,CLOSED,t2_close_exit,60,0.06996949647742401,60,0
2025-10-13,600078,澄星股份,1,80.0,3,9.02,2025-10-14,2025-10-15,,,,0,0,,SKIPPED,t1_one_word_limit_up,68,0.037829091510829915,68,0
2025-10-13,000006,深振业Ａ,2,76.5,2,13.13,2025-10-14,2025-10-15,14.502149999999999,2025-10-15,12.41,2,0,-0.14426481590660686,CLOSED,t2_close_exit,68,0.037829091510829915,68,0
2025-10-13,000045,深纺织Ａ,4,67.75,1,14.85,2025-10-14,2025-10-15,16.140299999999996,2025-10-15,14.63,2,0,-0.0935732297417022,CLOSED,t2_close_exit,68,0.037829091510829915,68,0
2025-10-15,600617,国新能源,1,76.5,2,3.7,2025-10-16,2025-10-17,3.9998999999999993,2025-10-17,4.0,2,0,2.500062501578918e-05,CLOSED,t2_close_exit,70,0.03562413541713361,70,0
2025-10-15,000572,海马汽车,3,67.75,1,6.49,2025-10-16,2025-10-17,6.713399999999999,2025-10-17,6.83,2,0,0.017368248577472063,CLOSED,t2_close_exit,70,0.03562413541713361,70,0
2025-10-15,000957,中通客车,4,67.75,1,12.6548386,2025-10-16,2025-10-17,12.988285133999998,2025-10-17,12.1868784,2,0,-0.06170227445208463,CLOSED,t2_close_exit,70,0.03562413541713361,70,0
2025-10-15,001379,腾达科技,5,67.75,1,22.92294768,2025-10-16,2025-10-17,22.667280138,2025-10-17,21.58859712,2,0,-0.04758766872041557,CLOSED,t2_close_exit,70,0.03562413541713361,70,0
2025-10-27,000599,青岛双星,1,76.5,2,6.96,2025-10-28,2025-10-29,7.637999999999999,2025-10-29,7.0,2,0,-0.0835297198219428,CLOSED,t2_close_exit,55,0.007689237259230541,55,0
2025-10-27,000543,皖能电力,2,67.75,1,8.65,2025-10-28,2025-10-29,8.7837,2025-10-29,8.67,2,0,-0.012944431162266436,CLOSED,t2_close_exit,55,0.007689237259230541,55,0
2025-10-27,000679,大连友谊,3,67.75,1,9.4,2025-10-28,2025-10-29,9.326399999999998,2025-10-29,9.68,2,0,0.03791387888145501,CLOSED,t2_close_exit,55,0.007689237259230541,55,0
2025-10-27,000753,漳州发展,4,67.75,1,8.07,2025-10-28,2025-10-29,8.29125,2025-10-29,8.38,2,0,0.010704055480175003,CLOSED,t2_close_exit,55,0.007689237259230541,55,0
2025-10-29,600408,安泰集团,2,76.5,2,3.55,2025-10-30,2025-10-31,3.4571999999999994,2025-10-31,3.11,2,0,-0.10042809209765115,CLOSED,t2_close_exit,76,0.0217395383331338,76,0
2025-10-29,603256,宏和科技,3,76.5,2,42.33,2025-10-30,2025-10-31,41.205,2025-10-31,35.4,2,0,-0.14088096104841646,CLOSED,t2_close_exit,76,0.0217395383331338,76,3
2025-10-29,603556,海兴电力,4,76.5,2,35.11,2025-10-30,2025-10-31,35.07449999999999,2025-10-31,33.77,2,0,-0.03719226218477784,CLOSED,t2_close_exit,76,0.0217395383331338,76,0
2025-10-29,000155,川能动力,5,67.75,1,12.2,2025-10-30,2025-10-31,12.582599999999998,2025-10-31,12.29,2,0,-0.023254335351993904,CLOSED,t2_close_exit,76,0.0217395383331338,76,0
